Date of Trade,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date,unadjusted_quantity,unadjusted_price,split_adjustment_factor
 02/29/2024, YOU SOLD SHORT SALE PROSHARES TR ULTPRO SHT 2017 (SRTY) (Short),SRTY, PROSHARES TR ULTPRO SHT 2017,Short,-7.0,27.65,,,,193.55,133830.25,3/4/2024,-7,27.65,1.0
 02/29/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DLY S&P OIL GAS (DRIP) (Short),DRIP, DIREXION SHS ETF TR DLY S&P OIL GAS,Short,-15.0,10.82,,,,162.37,133830.25,3/4/2024,-15,10.82,1.0
 02/29/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY SM CP BEAR (TZA) (Short),TZA, DIREXION SHS ETF TR DAILY SM CP BEAR,Short,-10.0,18.35,,,,183.5,133830.25,3/4/2024,-10,18.35,1.0
 02/29/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (OILD) (Short),OILD, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-5.0,18.81,,,,94.05,133830.25,3/4/2024,-5,18.81,1.0
 02/29/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (OILD) (Short),OILD, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-10.0,18.81,,,,188.08,133830.25,3/4/2024,-10,18.81,1.0
 02/29/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (063679625) (Short),BNKU, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-50.0,5.82,,,,291.0,133830.25,3/4/2024,-50,5.82,1.0
 03/01/2024, YOU SOLD SHORT SALE PROSHARES TR II ULSHT BLOOMB GAS (KOLD) (Short),KOLD, PROSHARES TR II ULSHT BLOOMB GAS,Short,-4.0,64.04,,,,256.16,134424.71,3/5/2024,-2,128.08,2.0
 03/01/2024, YOU SOLD SHORT SALE PROSHARES TR II ULSHT BLOOMB OIL (SCO) (Short),SCO, PROSHARES TR II ULSHT BLOOMB OIL,Short,-10.0,17.16,,,,171.6,134424.71,3/5/2024,-10,17.16,1.0
 03/01/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DLY SEMICNDTR BR... (25460G336) (Short),SOXS, DIREXION SHS ETF TR DLY SEMICNDTR BR 1 ,Short,-15.0,32.7,,,,490.5,134424.71,3/5/2024,-150,3.27,0.1
 03/01/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (063679591) (Short),BERZ, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-10.0,26.0,,,,260.0,134424.71,3/5/2024,-100,2.6,0.1
 03/01/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (063679591) (Short),BERZ, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-10.0,26.1,,,,261.21,134424.71,3/5/2024,-100,2.61,0.1
 03/01/2024, YOU BOUGHT SHORT COVER BANK MONTREAL QUE ICROSECTORS FANG &... (BULZ) (Short),BULZ, BANK MONTREAL QUE ICROSECTORS FANG & 0.,BTC,3.0,142.34,,,,-427.02,134424.71,3/5/2024,3,142.34,1.0
 03/01/2024, YOU BOUGHT SHORT COVER BANK OF MONTREAL MICROSECTORS FANG T... (FNGU) (Short),FNGU, BANK OF MONTREAL MICROSECTORS FANG TM 0,BTC,1.0,334.98,,,,-334.98,134424.71,3/5/2024,1,334.98,1.0
 03/04/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY TECH OCT21 (TECS) (Short),TECS, DIREXION SHS ETF TR DAILY TECH OCT21,Short,-2.0,74.4,,,,148.8,134424.71,3/6/2024,-20,7.44,0.1
 03/04/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DLY SEMICNDTR BR... (25460G336) (Short),SOXS, DIREXION SHS ETF TR DLY SEMICNDTR BR 1 ,Short,-10.0,31.6,,,,316.01,134424.71,3/6/2024,-100,3.16,0.1
 03/04/2024, YOU SOLD SHORT SALE MICROSECTORS GOLD MINERS 3X INVERSE ... (063679641) (Short),SHNY, MICROSECTORS GOLD MINERS 3X INVERSE 0.0,Short,-40.0,4.86,,,,194.4,134424.71,3/6/2024,-40,4.86,1.0
 03/04/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (063679625) (Short),BNKU, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-40.0,5.36,,,,214.41,134424.71,3/6/2024,-40,5.36,1.0
 03/06/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY MSCI EMERG (EDZ) (Short),EDZ, DIREXION SHS ETF TR DAILY MSCI EMERG,Short,-15.0,10.71,,,,160.65,134195.69,3/8/2024,-15,10.71,1.0
 03/06/2024, YOU SOLD SHORT SALE MICROSECTORS GOLD MINERS 3X INVERSE ... (063679641) (Short),SHNY, MICROSECTORS GOLD MINERS 3X INVERSE 0.0,Short,-50.0,4.3,,,,215.16,134195.69,3/8/2024,-50,4.3,1.0
 03/07/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DLY SEMICNDTR BR... (25460G336) (Short),SOXS, DIREXION SHS ETF TR DLY SEMICNDTR BR 1 ,Short,-15.0,28.6,,,,429.5,134195.69,3/11/2024,-150,2.86,0.1
 03/07/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (OILD) (Short),OILD, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-8.0,17.46,,,,139.68,134195.69,3/11/2024,-8,17.46,1.0
 03/07/2024, YOU SOLD SHORT SALE BANK MONTREAL QUE MICROSECTORS U S B... (NRGD) (Short),NRGD, BANK MONTREAL QUE MICROSECTORS U S BIG ,Short,-1.0,188.32,,,,188.32,134195.69,3/11/2024,-1,188.32,1.0
 03/11/2024, YOU SOLD SHORT SALE MICROSECTORS GOLD MINERS 3X INVERSE ... (063679641) (Short),SHNY, MICROSECTORS GOLD MINERS 3X INVERSE 0.0,Short,-50.0,3.98,,,,199.0,135804.54,3/13/2024,-50,3.98,1.0
 03/13/2024, YOU SOLD SHORT SALE EX-DIV DATE 03/19/24RECORD DATE 03/20/24 DIREXION SHS ETF TR DAILY MSCI EMERG (EDZ) (Short),EDZ, DIREXION SHS ETF TR DAILY MSCI EMERG,Short,-20.0,10.37,,,,207.4,135804.54,3/15/2024,-20,10.37,1.0
 03/13/2024, YOU SOLD SHORT SALE EX-DIV DATE 03/19/24RECORD DATE 03/20/24 DIREXION SHS ETF TR DAILY FINL BEAR (FAZ) (Short),FAZ, DIREXION SHS ETF TR DAILY FINL BEAR,Short,-15.0,10.79,,,,161.85,135804.54,3/15/2024,-15,10.79,1.0
 03/13/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (OILD) (Short),OILD, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-15.0,16.39,,,,245.85,135804.54,3/15/2024,-15,16.39,1.0
 03/13/2024, YOU SOLD SHORT SALE BANK MONTREAL QUE MICROSECTORS U S B... (NRGD) (Short),NRGD, BANK MONTREAL QUE MICROSECTORS U S BIG ,Short,-1.0,171.54,,,,171.54,135804.54,3/15/2024,-1,171.54,1.0
 03/14/2024, YOU SOLD SHORT SALE EX-DIV DATE 03/19/24RECORD DATE 03/20/24 DIREXION SHS ETF TR DLY S&P OIL GAS (DRIP) (Short),DRIP, DIREXION SHS ETF TR DLY S&P OIL GAS,Short,-25.0,9.84,,,,246.0,135804.54,3/18/2024,-25,9.84,1.0
